Sport,Family,1614,1618,2350,All Stores
Others,HORSE SADDLE PADS,0,0.75,0,0.75
JOG/RUN,ADULT RUNNING SOCKS,0.7641509433962265,0.7567567567567568,0.42727272727272725,0.6930147058823529
KAYAK/SUP,KAYAK CLOTHING,1.0,0.6842105263157895,0.2777777777777778,0.6621621621621622
VOLLEYBALL,VOLLEY BALL BALLS,1.0,0.8,0.0,0.5384615384615384
TENNIS,WOMEN WARM CONDITION RACKET SP APAREL,0.7226890756302521,0.7603305785123967,0.25925925925925924,0.6530612244897959
Others,RIDER HELMETS,1.0,0.863013698630137,1.0,0.8901098901098901
Others,RIDING APPAREL FOR SHOW,1.0,0.9411764705882353,0.0,0.9425287356321839
CROSSTRAIN,PROTEINS AND SUPPLEMENTS,0.6,0.8181818181818182,0.0,0.6666666666666666
JOG/RUN,OCCASIONAL WOMEN JOG BREATHABLE TEXTILE,0.8187919463087249,0.815028901734104,0.417910447761194,0.7480719794344473
JOG/RUN,JOGGING ACCESSORIES TO CARRY,0.7441860465116279,0.7333333333333333,0.17647058823529413,0.6476190476190476
TENNIS,JUNIOR WARM APPAREL,0.6768558951965066,0.6502242152466368,0.20175438596491227,0.5706713780918727
HIKING/TREKKING,"""HIKING INSULATED BOTTLES",0.0,0.0,0.0,0.0
JOG/RUN,OCCASIONAL MEN JOG BREATHABLE TEXTILE,0.8411764705882353,0.8313253012048193,0.52,0.7785888077858881
PILATES,"""WOMEN ARTISTIC GYM APPAREL",0.0,0,0,0.0
JOG/RUN,SUN PROTECT RUNNING ACCESSORIES,0.7111111111111111,0.6829268292682927,0.1111111111111111,0.5961538461538461
JOG/RUN,REGULAR MEN JOGGING BREATHABLE TEXTILE,0.8532110091743119,0.8704453441295547,0.4166666666666667,0.786096256684492
Others,HOT WEATHER WOMAN RIDINGWEAR,1.0,0.8823529411764706,0,0.8947368421052632
TABLE_TENNIS,TT FREE RACKETS BEGINNER,0.5,0.45454545454545453,0.0,0.36
JOG/RUN,REGULAR MEN JOGGING SHOES,0.8497109826589595,0.8061674008810573,0.2923076923076923,0.7505376344086021
FITNESS,FITNESS CARDIO TRACKSUITS MAN,1.0,1.0,0,1.0
Others,RIGGED LINES,0,1.0,0,1.0
CYCLING,MEN WARM WEATHER ROAD BASELAYER,1.0,0.8181818181818182,1.0,0.8666666666666667
Others,HOT WEATHER JR RIDINGWEAR,1.0,0.8571428571428571,0,0.875
Others,"""WOMEN MODERN DANCE APPAREL",0.0,0.0,0,0.0
HIKING/TREKKING,"""TREKKING STOVES",0.0,0.0,0.0,0.0
CYCLING,URBAN / INTERMODAL HELMET,1.0,0.875,1.0,0.9166666666666666
CYCLING,MID-SEASON HEAD BAND,1.0,0.8125,0.3333333333333333,0.7692307692307693
CYCLING,BIKE GLOVES WARM WEATHER,1.0,0.9540229885057471,0.3902439024390244,0.7972027972027972
CYCLING,JR MTB ROAD WARM WEATHER APPAREL,1.0,1.0,0.625,0.9491525423728814
CYCLING,ADULT WARM WEATHER CROSS C. MTB GLOVES,1.0,1.0,0,1.0
FOOTBALL,JR WARM WEATHER OUTFIT,0.7985865724381626,0.7213114754098361,0.0392156862745098,0.6521739130434783
TABLE_TENNIS,TT RACKETS COVERS BEGINNER,1.0,0.7,0.0,0.6842105263157895
SAILING,CRUISING SHOES WOMAN,0,0.6666666666666666,0,0.6666666666666666
Others,GLASSES AND CAPS,1.0,0.8571428571428571,0,0.9230769230769231
Others,WAISTCOAT,1.0,0.9230769230769231,0,0.9285714285714286
TABLE_TENNIS,TT TABLES INTERMEDIATE,1.0,1.0,0,1.0
DIVING,SCD NEOPREN ACCESSORIES,1.0,0.3,0.1,0.30434782608695654
CYCLING,MEN MID-SEASON ROAD APPAREL,1.0,0.9166666666666666,0.35,0.7192982456140351
CYCLING,HYBRID CYCLING MUDGUARDS,0,1.0,0,1.0
BADMINTON,PLASTIC SHUTTLECOCKS,0.8181818181818182,0.9090909090909091,0.0,0.7916666666666666
JOG/RUN,KIDS ATHLETICS SOCKS,0.0,0.6666666666666666,0.0,0.48148148148148145
CYCLING,WARM WEATHER CITY CYCLING APPAREL & ACC,1.0,1.0,0,1.0
CYCLING,KIDS BIKE TYRES,0,0,0.0,0.0
HIKING/TREKKING,HIKING CAMP JUNIOR EQUIPMENT,0.75,0.25,0.0,0.36363636363636365
JOG/RUN,KIDS ATHLETICS CLOTHES ACCESS,0.9330357142857143,0.7668393782383419,0.3197278911564626,0.7291941875825627
CYCLING,RAIN WEATHER CITY CYCLING APPAREL & ACC,1.0,0.8717948717948718,1.0,0.8936170212765957
HIKING/TREKKING,WOMEN HIKING SANDALS/SHOES WARM WEAT,0.8888888888888888,0.7474747474747475,0.6086956521739131,0.774468085106383
HIKING/TREKKING,CHILDREN HIKING SANDALS,0.6724137931034483,0.5833333333333334,0.38461538461538464,0.554945054945055
HIKING/TREKKING,WOMEN MOUNTAIN HIKING JACKETS,0.8909090909090909,0.8333333333333334,0.2972972972972973,0.7869415807560137
CYCLING,ADULT SPORT TRAIL MTB EYES GLASSES,0.5384615384615384,0.7692307692307693,0.0,0.5151515151515151
CYCLING,ROAD CYCLING SUNGLASSES,1.0,0.9,0.0,0.8181818181818182
JOG/RUN,REGULAR WOMEN JOGGING BREATHABLE TEXTILE,0.8109756097560976,0.805045871559633,0.4748603351955307,0.7444326617179216
HIKING/TREKKING,ADULT NATURE HIKING SOCKS,0.6607142857142857,0.6190476190476191,0.10344827586206896,0.5337837837837838
FOOTBALL,GOALS SOCCER,0.7142857142857143,0.375,0.25,0.47368421052631576
BADMINTON,ADULT INTERMEDIATE BADMINTON RACKETS,0.75,0.78125,0.18181818181818182,0.676056338028169
BADMINTON,KIDS BADMINTON RACKET,0.6666666666666666,0.7647058823529411,0.0,0.5666666666666667
HIKING/TREKKING,SUNGLASSES/BINOCULARS JUNIOR HIKING,0.7450980392156863,0.6470588235294118,0.2,0.5984251968503937
SAILING,SAILING SUNGLASSES,0.4,0.0,0.0,0.18181818181818182
BADMINTON,KIDS BADMINTON SHOES,0.7526881720430108,0.8203125,0.07317073170731707,0.6793893129770993
HIKING/TREKKING,JUNIOR HIKING SOCKS,0.45454545454545453,0.5161290322580645,0.0,0.38235294117647056
HIKING/TREKKING,"""MEN BACKPACKING PANTS",0.0,0.0,0.0,0.0
SURFING,TEMPERED WATER WETSUIT,1.0,0.5,0.0,0.5737704918032787
SURFING,COLD WATER WETSUIT,1.0,0.9,0,0.9166666666666666
GOLF,WOMENS MILD WEATHER GOLF CLOTHING,1.0,0.9605911330049262,0,0.9653679653679653
GOLF,MENS WARM WEATHER GOLF CLOTHING,1.0,0.7623762376237624,0.4,0.7890625
SKATE/ROLLER,ACCESORIES ADULT SCOOTER,0.3333333333333333,0.5,0.0,0.3333333333333333
HIKING/TREKKING,WOMEN MOUNTAIN TREKKING OUTFIT,1.0,0.9629629629629629,0.7837837837837838,0.9382022471910112
SAILING,CRUISING RAINY WEATHER MAN CLOTHES,1.0,0.8223684210526315,0.10526315789473684,0.7415254237288136
SAILING,CRUISING RAINY AND COLD WEATHER JR,1.0,0.7910447761194029,0.04878048780487805,0.6747572815533981
HIKING/TREKKING,10L TO 30L NATURE HIKING BACKPACKS,0.6428571428571429,0.6222222222222222,0.09523809523809523,0.5277777777777778
BADMINTON,FREE BADMINTON,0.8235294117647058,0.631578947368421,0.2,0.6086956521739131
HIKING/TREKKING,"""HIKING CAMP LAMPS",0.0,0.0,0.0,0.0
HIKING/TREKKING,"""BASE CAMP SHELTERS",0.0,0.0,0.0,0.0
SAILING,CRUISING WARM WEATHER MAN CLOTHES,1.0,0.4897959183673469,0.0,0.5510204081632653
DIVING,SNORKELING AQUASHOES,0.6666666666666666,0.5921052631578947,0.2682926829268293,0.5520833333333334
SURFING,BEACH TOWELS,0.72,0.4482758620689655,0.05555555555555555,0.4444444444444444
SURFING,JUNIOR BABY SOLAR PROTECTION WEAR,0.7647058823529411,0.6830357142857143,0.288135593220339,0.6238185255198487
HIKING/TREKKING,BACKPACKS&POLES JUNIOR,0.5714285714285714,0.5,0.3,0.47368421052631576
Others,CANYONING GEAR,0,1.0,0,1.0
CLIMBING,CLIMBING CLOTHING,1.0,0.7961783439490446,0.3137254901960784,0.6912442396313364
SURFING,WOMEN BEGINNER SURF SWIMSUIT,0.9635258358662614,0.952,0.7431192660550459,0.9286592865928659
CYCLING,BIKE LOCKS,1.0,0.5384615384615384,0.0,0.43478260869565216
BADMINTON,BADMINTON ACCESSORIES,0.6730769230769231,0.6666666666666666,0.0,0.568
HIKING/TREKKING,BASE CAMP FURNITURE,0.5833333333333334,0.5294117647058824,0.1111111111111111,0.4473684210526316
Others,TRACKERS PEDOMETERS OR SCALES,1.0,0.5,0,0.7272727272727273
DIVING,"""SCD GLOVES",0.0,0.0,0.0,0.0
HIKING/TREKKING,MEN MOUNTAIN HIKING JACKETS,0.8787878787878788,0.84,0.44,0.7859531772575251
GOLF,GOLF AT HOME,0,0.4,0,0.4
SKI,WOMEN'S JACKETS OR PANTS INTERMED SKIERS,0.9666666666666667,0.9032258064516129,0.0,0.926829268292683
HIKING/TREKKING,HIKING CAMP COOL BOXES,0.5454545454545454,0.3333333333333333,0.0,0.3225806451612903
HIKING/TREKKING,HIKING BOTTLES,0.22727272727272727,0.25,0.13333333333333333,0.21311475409836064
HIKING/TREKKING,"""CHILDREN HIKING LAYER 1",0.0,0.0,0.0,0.0
CLIMBING,CLIMBING SHOES & SLIPPERS,1.0,0.7934782608695652,0.21739130434782608,0.7299270072992701
SURFING,WOMEN ADVANCED SURF SWIMSUIT,0.9139784946236559,0.8837209302325582,0.5636363636363636,0.8205128205128205
JOG/RUN,ATHLLE WATCHES OR STOPWATCHE,0.5333333333333333,0.6764705882352942,0.0,0.5
HIKING/TREKKING,CHILDREN MOUNTAIN HIKING OUTFITS,0.8767123287671232,0.9272727272727272,0.5,0.8702064896755162
BASKETBALL,OFFICIALS BASKETBALL BALLS,0.6875,0.627906976744186,0.10526315789473684,0.5425531914893617
HIKING/TREKKING,MEN MOUNT HIKING LIGHT JACKET WINDSTOP,0.8450704225352113,0.8632478632478633,0.08695652173913043,0.7725118483412322
HIKING/TREKKING,JUNIOR HIKING SUN PROTECTION JACKET,0.803921568627451,0.7658227848101266,0.3111111111111111,0.7247191011235955
SKATE/ROLLER,SKATEBOARD SHOES,1.0,1.0,0,1.0
HIKING/TREKKING,CHILDREN MOUNTAIN HIKING JACKETS,0.85,0.8255813953488372,0.48148148148148145,0.7841530054644809
HIKING/TREKKING,MEN NATURE HIKING JACKETS ALL WEATHER,0.8823529411764706,0.8484848484848485,0.6111111111111112,0.8227272727272728
SURFING,SURF ACCESSORIES,1.0,0.5625,0.6,0.6857142857142857
Others,SPORT WALKING SOCKS,0,0.8571428571428571,0.0,0.75
CLIMBING,CLIMBING & MOUNTAINEERING HARNESS,1.0,0.6428571428571429,0.42857142857142855,0.7428571428571429
CYCLING,KIDS MTB BIKES 6-12 YEARS,1.0,0.8333333333333334,0.16666666666666666,0.65
GOLF,"""GOLF BALLS",0.0,0.0,0.0,0.0
DIVING,SCD GEAR & ACC CLUB/BEG,0,0.75,0.3333333333333333,0.5
DIVING,SCD GEAR & ACC INT,0.7142857142857143,0.5,0.4375,0.5135135135135135
BASKETBALL,JOINT / MUSCLE SUPPORTS,0.646551724137931,0.6302521008403361,0.08450704225352113,0.5098039215686274
CYCLING,BIKE KICKSTANDS,1.0,0.4,0.0,0.25
CYCLING,KIDS BIKES ACCESSORIES 6-12 YEARS,1.0,1.0,1.0,1.0
JOG/RUN,JOGGING HRM WATCHES,0.6,0.5,0.0,0.42857142857142855
BADMINTON,FEATHER SHUTTLECOCKS,0.5555555555555556,0.7241379310344828,0.0,0.5142857142857142
BADMINTON,BADMINTON COURT EQUIPMENT,1.0,0.16666666666666666,0.25,0.42857142857142855
SWIMMING,SWIMMING TOWELS,0.6666666666666666,0.5396825396825397,0.08571428571428572,0.4838709677419355
SAILING,CRUISING COLD WEATHER MAN CLOTHES,1.0,0.8181818181818182,0,0.8947368421052632
SWIMMING,POOLS AND POOLS ACCESORIES,1.0,0.5,0.0,0.5555555555555556
SWIMMING,BABY SWIMSUITS & ACCESS.,0.8296296296296296,0.7015706806282722,0.03389830508474576,0.6441558441558441
SWIMMING,AQUAGYM AQUABIKE SWIMSUITS/MATERIAL,0.8571428571428571,0.7898089171974523,0.15517241379310345,0.6678966789667896
TABLE_TENNIS,TT CLUB ACCESSORIES,0,0.3333333333333333,0.0,0.25
Others,ARCHERY ACCESSORIES,1.0,1.0,0,1.0
HIKING/TREKKING,20L TO 40L MOUNTAIN HIKING BACKPACKS,0.35714285714285715,0.375,0.0,0.2558139534883721
RUGBY,COLD CARE,0.4,0.2,0.0,0.2
JOG/RUN,MAN RUNNING UNDERWEAR,0.6461538461538462,0.7314814814814815,0.02702702702702703,0.580952380952381
JOG/RUN,EARPHONES & MP3,0.6363636363636364,0.6363636363636364,0.0,0.5384615384615384
CYCLING,ROAD RACING BIKES,1.0,0.9,0.6363636363636364,0.8333333333333334
SKATE/ROLLER,CHILD SCOOTERS,0.7428571428571429,0.6153846153846154,0.1111111111111111,0.5652173913043478
FITNESS,FITNESS CARDIO ACCESSORIES FOR EQUIPMENT,1.0,1.0,0.0,0.75
TENNIS,JUNIOR RACKET,0.45,0.3684210526315789,0.0,0.3137254901960784
Others,BALLET SHOES,1.0,0.8333333333333334,0.0,0.8
FITNESS,TILLS CABINET,1.0,1.0,0,1.0
CYCLING,ANTIPOLLUTION AND WARM MASKS,0.75,0.5625,0.2,0.5476190476190477
Others,SWEATERS,0,1.0,0,1.0
HIKING/TREKKING,MEN HIKING SANDALS/SHOES WARM WEAT,0.813953488372093,0.8365384615384616,0.7166666666666667,0.8
Others,WELLIES,1.0,1.0,0.0,0.9545454545454546
Others,BRIDLEWORK,0,0.7142857142857143,0,0.7142857142857143
YOGA,YOGA ACCESSORIES,0.5625,0.5,0.07142857142857142,0.3958333333333333
TENNIS,WOMEN BEG/INTER MULTICOURT SHOES,0.7377049180327869,0.6666666666666666,0.4473684210526316,0.6415094339622641
SKI,KID BEGINNER ON PISTE SKIING CLOTHS,0.9387755102040817,0.8571428571428571,0.0,0.88
TENNIS,RACKETS ACCESSORIES,0.75,0.5625,0.5384615384615384,0.6222222222222222
FOOTBALL,GOALKEEPER SOCCER,0.927710843373494,0.9183673469387755,0.4583333333333333,0.8682926829268293
JOG/RUN,OCCASIONAL MEN JOG SHOES,0.896551724137931,0.8950276243093923,0.21739130434782608,0.8544973544973545
TENNIS,JUNIOR SHOES,0.6541666666666667,0.6781609195402298,0.2517985611510791,0.5765625
FOOTBALL,HARD PITCH FOOTBALL SHOES,0.9396551724137931,0.8284313725490197,0.3269230769230769,0.793010752688172
JOG/RUN,REGULAR MEN JOGGING COLD PROTECT TX,0.8478260869565217,1.0,1.0,0.9295302013422819
TABLE_TENNIS,TT BALLS,0.5714285714285714,0.7333333333333333,0.0,0.6
GOLF,GOLF UMBRELLAS,0.8666666666666667,0.7333333333333333,0.3333333333333333,0.6923076923076923
JOG/RUN,REGULAR WOMEN JOG COLD PROTECT TEXTILE,1.0,0.7906976744186046,0,0.8534201954397395
JOG/RUN,WOMAN ROAD RUNNING CLOTHES,0.96,0.7863247863247863,0.2564102564102564,0.7414187643020596
Others,JUNIOR CLOTHING,0,1.0,0,1.0
SKI,BOY. INTERMEDIATE ON PIST SKIING CLOTHS,1.0,0.9375,0.0,0.9560439560439561
JOG/RUN,RUNNING COLD PROTECT ACCESSORIES,0.7241379310344828,0.8275862068965517,0.5,0.7666666666666667
CYCLING,ROAD BIKE TYRES,0,1.0,0.0,0.6666666666666666
Others,COLD WEATHER FISHING CLOTHES,0,1.0,0,1.0
GOLF,MENS COLD WEATHER GOLF CLOTHING,1.0,1.0,0,1.0
PILATES,GYM STRETCHING SMALL EQUIPMENT,0.625,0.625,0.5,0.5833333333333334
HIKING/TREKKING,CHILD HIKING BOOTS,0.8928571428571429,0.9102564102564102,0.6,0.87248322147651
SKI,WOMEN SKI BASELAYER & PULL,1.0,0.967391304347826,0.0,0.9698795180722891
CYCLING,MEN COLD WEATHER ROAD RACING APPAREL,0,1.0,0,1.0
SKI,BOY SKI BASELAYER & PULL,1.0,0.9180327868852459,0.0,0.9112903225806451
CYCLING,MEN COLD WEATHER ROAD CYCLING APPAREL,1.0,1.0,0,1.0
FOOTBALL,HARD PITCH FOOTBALL SHOES JR,0.9545454545454546,0.7125506072874493,0.32653061224489793,0.7627118644067796
CYCLING,JR COLD WEATHER CYCLING APPAREL ACC,0,1.0,0,1.0
HIKING/TREKKING,WOMEN MOUNTAIN TREKKING SHOES,1.0,0.6666666666666666,0.3333333333333333,0.6363636363636364
CYCLING,WOMEN COLD WEATHER ROAD APPAREL,1.0,1.0,0,1.0
HIKING/TREKKING,WOMEN MOUNT HIKING FLEECES,0.7986577181208053,0.8564102564102564,0.15625,0.773936170212766
HIKING/TREKKING,MEN SNOW HIKING WARM JACKETS,0.9215686274509803,0.896551724137931,0,0.908256880733945
HIKING/TREKKING,MEN BACKPACKING JACKETS COLD WEATHER,1.0,1.0,1.0,1.0
SKI,MEN SKI BASELAYER & PULL,1.0,0.9726027397260274,0.0,0.9696969696969697
SKI,MEN 'S SKI OR POLES INTERM. SKIERS,1.0,1.0,0,1.0
HIKING/TREKKING,WOMEN MOUNTAIN TREK SOFTSHELL,1.0,1.0,0,1.0
HIKING/TREKKING,ARCTIC TREKKING OUTFIT,1.0,1.0,0,1.0
CYCLING,MEN COLD WEATHER ROAD BASELAYER,1.0,1.0,0,1.0
SKI,ADULT CROSS COUNTRY CLOTHING,1.0,1.0,0,1.0
SAILING,MAN SAILING COLD WTR WATERPROOF CLOTHES,1.0,1.0,0.5,0.9838709677419355
SAILING,REGATTA COLD WEATHER MAN CLOTHES,1.0,0.9622641509433962,0.0,0.6951219512195121
SAILING,JUNIOR SAILING COLD WTR WATERPROOF,1.0,0.8444444444444444,0.0,0.7375
HIKING/TREKKING,FLEECE PADDED & SOFTHELL JKT GIRL 7-15 Y,1.0,0.6428571428571429,0.0,0.7659574468085106
SKI,WOMEN'S CLOTHING BEGINNER SKIERS,0.8870967741935484,0.8194444444444444,1.0,0.8591549295774648
HIKING/TREKKING,WOMEN BACKPACKING JACKETS COLD WEATHER,1.0,1.0,0,1.0
HIKING/TREKKING,MEN SNOW HIKING WARM BOOTS,1.0,1.0,0,1.0
HIKING/TREKKING,MEN SNOW HIKING WARM SHOES & GRIPS,0.7903225806451613,0.8932038834951457,1.0,0.8562874251497006
HIKING/TREKKING,CHILDREN SNOW HIKING GLOVES & WARM SOCKS,0.9743589743589743,0.7906976744186046,0,0.8780487804878049
HIKING/TREKKING,MEN MOUNTAIN HIKING SHOES,0.7551020408163265,0.8392857142857143,0.3902439024390244,0.752442996742671
CROSSTRAIN,"""GLOVES",0.0,0.0,0.0,0.0
PILATES,BABY GYM SMALL EQUIPMENT,0.8333333333333334,0.625,0.2727272727272727,0.6226415094339622
CLIMBING,MOUNTAINEERING BOOTS,0,1.0,0,1.0
TABLE_TENNIS,TT RACKETS ACCESORIES,0,1.0,0,1.0
SKATE/ROLLER,ADULT FITNESS ICE SKATES,1.0,1.0,0,1.0
FITNESS,MOUNTAIN,0,1.0,0,1.0
TENNIS,TENNIS WORKSHOP,0,0,1.0,1.0
FITNESS,PEGS AND BARS,0.5,1.0,0.0,0.75
FITNESS,SQUELETTOR,1.0,1.0,0,1.0
HIKING/TREKKING,MEN NATURE HIKING SHORTS/T-SHIRTS,0.8939393939393939,0.8100558659217877,0.7126436781609196,0.8275862068965517
HIKING/TREKKING,WOMEN NATURE HIKING LAYER 1 WARM WEATHER,0.88,0.8367346938775511,0.44,0.7919254658385093
SKATE/ROLLER,WAVEBOARDS,0,1.0,0,1.0
SKATE/ROLLER,ADULT SCOOTERS,0.8888888888888888,0.5384615384615384,0.16666666666666666,0.5714285714285714
VOLLEYBALL,BEACH-VOLLEY,1.0,0.7058823529411765,0.25,0.725
CYCLING,BIKE COMPUTERS,1.0,0.5714285714285714,0.0,0.4
FITNESS,FITTING,0,1.0,0,1.0
DIVING,SPF SUITS 16/24бу INT,0,1.0,0,1.0
TRIATHLON,SUN PROTECTION,1.0,0,0,1.0
FOOTBALL,DRY PITCH FOOTBALL SHOES,0.8518518518518519,0.7867647058823529,0.3170731707317073,0.743859649122807
Others,HORSE RIDING SADDLERY,0,0.3333333333333333,0,0.3333333333333333
FITNESS,CUSTOMER BAG,0.0,0.3333333333333333,0.5,0.2222222222222222
Others,"""BALLET DANCE TIGHTS",0.0,0.0,0.0,0.0
SWIMMING,OPEN WATER SWIMMING WARM WATER & ACCES.,0.9444444444444444,0.7142857142857143,0.2857142857142857,0.6792452830188679
HIKING/TREKKING,"""WOMEN MOUNT HIK TS",0.0,0.0,0.0,0.0
CYCLING,BIKE RACKS,0,0.75,0.0,0.375
Others,BASEBALL,1.0,0.8888888888888888,0.5,0.8571428571428571
CLIMBING,ACCESS CORDS,1.0,0.14285714285714285,0.0,0.25
Others,CUSTOMERS ORDERS,1.0,1.0,0,1.0
Others,PREDATORS FISHING DISCOVERY,1.0,1.0,0.0,0.875
Others,SHOES,1.0,0.8,0,0.875
Others,FLEECES/PADDED JACKETS,1.0,0.8888888888888888,0,0.9230769230769231
Others,MECHANICS TRANSMISSION BIKING,0,1.0,0,1.0
Others,ACCESSORIES BIKING,0,1.0,0,1.0
Others,HIDES,1.0,1.0,0,1.0
Others,HORSE RIDING SADDLES,0,1.0,0,1.0
CLIMBING,SLACKLINE,0,1.0,0,1.0
Others,POLE FISHING DISCOVERY,0,1.0,0,1.0
SKATE/ROLLER,OTHER SCOOTER GLIDES,1.0,1.0,0,1.0
PILATES,PILATES SMALL EQUIPMENT,0.6666666666666666,0.6,0.2857142857142857,0.5412844036697247
SWIMMING,OPEN WATER SWIMMING COLD WATER,1.0,0.5,0,0.75
Others,BITS,0,0.5,0,0.5
Others,RIDING COUNTRY/TRAINERS BOOTS/HALF CHAPS,1.0,0.8333333333333334,0,0.8571428571428571
BOXING,WRAPS AND UNDER GLOVES,0.8333333333333334,0.7333333333333333,0.14285714285714285,0.6071428571428571
SKI,SKI LUGGAGE,1.0,0.6666666666666666,0.0,0.75
SKI,JUNIOR CROSS COUNTRY SKI CLOTHING,0,1.0,0,1.0
Others,EXTREMELY WARM CLOTHING,0,1.0,0,1.0
CLIMBING,VIA FERRATA LANYARD & GEAR,1.0,0.6,0.0,0.5333333333333333
Others,MEN RIDING APPAREL,1.0,0.9824561403508771,0,0.9850746268656716
Others,RIDING SOCKS ADULTE,0,0.9166666666666666,0,0.9166666666666666
Others,HALF CHAPS,1.0,0.88,0.0,0.8823529411764706
DIVING,SCD SUITS >25бу BEG,1.0,0.5238095238095238,0.3125,0.4878048780487805
CYCLING,ROAD BIKES STEERING,1.0,1.0,0,1.0
PILATES,"""RHYTHMIC GYM APPARATUS",0.0,0.0,0,0.0
CLIMBING,MOUNTAINEERING SLEEPING BAGS,0,1.0,0.5,0.7692307692307693
Others,Gift cards,0.3333333333333333,0.16666666666666666,0.8,0.4117647058823529
SKATE/ROLLER,FREESTYLE SCOOTER,1.0,1.0,0,1.0
PILATES,BABY GYM FOOTWEAR,1.0,0.9791666666666666,0,0.9823008849557522
Others,POSTED CAMOUFLAGE CLOTHING,0,1.0,0,1.0
FITNESS,HEALF AND DISCOVERY,1.0,1.0,0,1.0
TENNIS,BEACH TENNIS,0.2857142857142857,0.0,0.0,0.1111111111111111
SAILING,CRUISING COLD WEATHER WOMAN CLOTHES,1.0,1.0,0,1.0
SAILING,SAILOR ACCESSORIES,0.8648648648648649,0.8269230769230769,0.5757575757575758,0.7704918032786885
HIKING/TREKKING,WOMEN SNOW HIKING WARM JACKETS,0.9487179487179487,0.8392857142857143,0,0.8842105263157894
HIKING/TREKKING,HIKING BINOCULARS,0.6666666666666666,0.6666666666666666,0.0,0.5454545454545454
SKI,SKI AND SNOWBOARD BODY ARMOUR,1.0,0.92,0,0.9574468085106383
CROSSTRAIN,BODYBUILDING GUIDED EQUIPMENT,1.0,0.8,0.6,0.75
SKI,SNOWBOARD PROTECTIONS,1.0,0.9166666666666666,1.0,0.9607843137254902
SKI,SKI AND SNOWBOARD HELMETS,1.0,1.0,1.0,1.0
BADMINTON,ADULT ADVANCED BADMINTON RACKETS,0.8648648648648649,0.5853658536585366,0.3333333333333333,0.6274509803921569
YOGA,YOGA MATS,0.5714285714285714,0.38095238095238093,0.0,0.36363636363636365
CYCLING,WARM WEATHER INTERMEDIATE ST MTB GLOVES,1.0,0.7333333333333333,0.4,0.6956521739130435
Others,TROUT BASKETS BAGS,1.0,0,0,1.0
